,song_id,artist_name,track_name,popularity,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence
47,2kJwzbxV2ppxnQoYw4GLBZ,JP Saxe,If The World Was Ending (feat. Julia Michaels),89,0.866,0.464,208687,0.473,0.0,1,0.109,-10.086,1,0.129,75.801,4,0.604
48,6kls8cSlUyHW2BUOkDJIZE,Ellie Goulding,Hate Me (with Juice WRLD),87,0.108,0.657,186223,0.768,0.0,8,0.144,-4.628,1,0.0507,75.025,4,0.759
49,7CZyCXKG6d5ALeq41sLzbw,Post Malone,Take What You Want (feat. Ozzy Osbourne & Travis Scott),86,0.0906,0.499,229573,0.8,0.0,1,0.147,-2.665,0,0.0502,139.919,4,0.272
50,4sjiIpEv617LDXaidKioOI,YNW Melly,223's (feat. 9lokknine),84,0.0388,0.932,176640,0.547,0.0,0,0.0924,-7.787,0,0.333,94.998,4,0.695
51,4bl1HBZliBuYpFZjWgefE4,Roddy Ricch,Peta (feat. Meek Mill),84,0.015,0.778,198849,0.573,0.0,10,0.464,-7.339,0,0.251,140.114,4,0.269
52,6uFn47ACjqYkc0jADwEdj1,Polo G,Pop Out (feat. Lil Tjay),84,0.15,0.772,166560,0.639,0.0,1,0.0698,-7.119,1,0.467,168.112,4,0.261
53,5DxXgozhkPLgrbKFY91w0c,Bad Bunny,Vete,93,0.0363,0.886,192024,0.672,8.78e-06,1,0.101,-4.394,1,0.188,91.976,4,0.526
54,0RLLvYBopDwooCyvnTwgYu,Lil Tjay,F.N,82,0.354,0.567,224000,0.515,0.0,6,0.078,-10.265,0,0.247,120.1,1,0.321
55,5hVghJ4KaYES3BFUATCYn0,"Tyler, The Creator",EARFQUAKE,84,0.23,0.554,190067,0.498,5.98e-06,9,0.795,-8.866,1,0.0685,79.635,4,0.413
56,6XHVuErjQ4XNm6nDPVCxVX,Chris Brown,No Guidance (feat. Drake),84,0.123,0.698,260640,0.454,0.0,1,0.155,-6.756,0,0.151,92.932,4,0.137
57,7tgjDlQsMR8RvkdlNCJA58,Trippie Redd,6 Kiss,82,0.109,0.687,199437,0.449,0.0,2,0.282,-10.061,1,0.154,142.048,4,0.229
58,3wwo0bJvDSorOpNfzEkfXx,Juice WRLD,Let Me Know (I Wonder Why Freestyle),83,0.172,0.635,215381,0.537,0.0,7,0.418,-7.895,0,0.0832,125.028,4,0.383
59,51Fjme0JiitpyXKuyQiCDo,Y2K,Lalala,90,0.181,0.843,160627,0.391,0.0,2,0.137,-7.899,1,0.0845,129.972,4,0.496
60,0Xek5rqai2jcOWCYWJfVCF,Post Malone,Enemies (feat. DaBaby),84,0.0588,0.542,196760,0.674,0.0,6,0.0955,-4.169,1,0.21,76.388,4,0.667
61,6ocbgoVGwYJhOv1GgI9NsF,Ariana Grande,7 rings,90,0.592,0.778,178627,0.317,0.0,1,0.0881,-10.732,0,0.334,140.048,4,0.327
62,7hpJ9tATWb2vztlq99hERP,Conan Gray,Maniac,85,0.00122,0.623,185787,0.647,0.0,8,0.354,-5.438,1,0.04,107.987,4,0.522
63,6cy3ki60hLwimwIje7tALf,The Black Eyed Peas,RITMO (Bad Boys For Life),96,0.0334,0.721,221714,0.716,0.00084,10,0.237,-7.037,0,0.0657,104.994,4,0.667
64,5Z8HZM6iQMhhqyPcCGY5g9,Young Thug,Hot (feat. Gunna),82,0.063,0.855,193027,0.651,0.0,0,0.0772,-8.044,0,0.235,111.997,4,0.559
65,3Z0oQ8r78OUaHvGPiDBR3W,Idina Menzel,Into the Unknown,86,0.849,0.323,194848,0.405,0.000544,10,0.138,-8.533,0,0.0413,145.104,5,0.274
66,0rFQ5cKYJ9WtHSKp9sxVYt,Diplo,Heartless (feat. Morgan Wallen),81,0.275,0.764,169227,0.555,0.0,11,0.0824,-6.414,1,0.0604,111.004,4,0.255
67,4jAIqgrPjKLTY9Gbez25Qb,Harry Styles,Lights Up,87,0.0392,0.575,172213,0.621,0.0045,10,0.141,-8.165,0,0.032,101.987,4,0.27
68,6YfTl5YupXOQBKiJJLrxcw,Trippie Redd,Death (feat. DaBaby),82,0.0579,0.802,172196,0.82,0.0,10,0.149,-5.969,0,0.146,164.005,4,0.613
69,4IO8X9W69dIQe0EC5ALXhq,21 Savage,Immortal,82,0.00813,0.741,254723,0.87,0.0,6,0.114,-3.494,0,0.503,184.194,4,0.663
70,4Yxc55NX3tAXC2mHRAhtcW,Olivia Rodrigo,"All I Want - From ""High School Musical: The Musical: The Series""",84,0.0902,0.376,177323,0.43,0.0,0,0.0912,-6.585,0,0.0328,77.599,3,0.129
72,1iQDltZqI7BXnHrFy4Qo1k,SHAED,Trampoline (with ZAYN),89,0.56,0.619,184280,0.459,0.0,7,0.137,-5.782,0,0.0334,126.803,4,0.498
73,6b2RcmUt1g9N9mQ3CbjX2Y,Sam Smith,How Do You Sleep?,90,0.153,0.477,202205,0.682,0.0,1,0.0763,-4.931,0,0.0925,110.567,5,0.345
74,3XiNC94b4Tq1xwv70sQJGN,Lil Uzi Vert,Sanguine Paradise,82,0.0948,0.729,243976,0.603,0.0,6,0.113,-6.736,0,0.0666,134.972,4,0.207
75,2WsuSYJNXGKXVYkHPnq2yp,Lil Tecca,Ransom (with Juice WRLD) - Remix,83,0.0119,0.684,171253,0.671,0.0,2,0.0769,-6.424,0,0.289,179.987,4,0.45
76,08dFHFTx6r67MTsYn5ilDR,Old Dominion,One Man Band,80,0.677,0.706,186240,0.358,0.0,6,0.107,-8.331,1,0.0348,75.991,4,0.478
77,0TK2YIli7K1leLovkQiNik,Shawn Mendes,Señorita,92,0.037,0.759,190960,0.54,0.0,9,0.0945,-6.039,0,0.0287,116.947,4,0.75
78,2rMAtCaTj16NptyVfEIeAC,Megan Thee Stallion,Cash Shit (feat. DaBaby),81,0.0218,0.921,192540,0.635,0.0,1,0.0946,-4.904,1,0.416,130.028,4,0.549
79,4hPpVbbakQNv8YTHYaOJP4,Marshmello,One Thing Right,85,0.0667,0.659,181824,0.623,0.0,4,0.582,-2.253,1,0.0451,88.042,4,0.439
80,735RSTb2xbtWbDtKD9XDYi,Internet Money,Somebody,82,0.363,0.63,174333,0.671,0.0,6,0.113,-6.659,0,0.256,89.921,4,0.333
81,7ce20yLkzuXXLUhzIDoZih,Lewis Capaldi,Before You Go,90,0.604,0.459,215107,0.575,0.0,3,0.0885,-4.858,1,0.0573,111.881,4,0.183
82,22vgEDb5hykfaTwLuskFGD,Jonas Brothers,Sucker,87,0.0427,0.842,181027,0.734,0.0,1,0.106,-5.065,0,0.0588,137.958,4,0.952
83,6V9fHiv84WlVTg7CSnIVY2,Halsey,Graveyard,86,0.231,0.667,181806,0.583,4.48e-05,11,0.181,-5.127,0,0.0747,92.043,4,0.187
84,2Xo3rLHjXfdb4avN68aQyi,Russ,BEST ON EARTH (feat. BIA),82,0.217,0.568,160720,0.764,0.0,5,0.0931,-3.465,0,0.255,179.985,4,0.625
85,5DqdesEfbRyOlSS3Tf6c29,Ali Gatie,It's You,88,0.374,0.732,212607,0.463,0.0,11,0.194,-6.972,0,0.0287,95.971,4,0.397
86,00ko9WaS4jOX1kEk3gvHjf,Chance the Rapper,Hot Shower,81,0.00157,0.899,225924,0.509,0.0,9,0.0573,-8.04,1,0.387,150.001,4,0.599
87,2YpeDb67231RjR0MgVLzsG,Lil Nas X,Old Town Road - Remix,89,0.0533,0.878,157067,0.619,0.0,6,0.113,-5.56,1,0.102,136.041,4,0.639
88,07Oz5StQ7GRoygNLaXs2pd,Lizzo,Good as Hell (feat. Ariana Grande) - Remix,88,0.298,0.668,159011,0.892,0.0,5,0.735,-3.001,0,0.0645,95.927,4,0.478
89,4SSnFejRGlZikf02HLewEF,Billie Eilish,bury a friend,87,0.74,0.905,193143,0.389,0.162,8,0.106,-14.505,1,0.332,120.046,4,0.196
90,4vUmTMuQqjdnvlZmAH61Qk,Ed Sheeran,South of the Border (feat. Camila Cabello & Cardi B),90,0.148,0.857,204467,0.621,0.0,9,0.0865,-6.376,0,0.0824,97.986,4,0.668
91,4guBZjUyrGoHsTahO3IHdj,Lil Tecca,Did It Again,82,0.185,0.686,116240,0.561,0.0,10,0.114,-9.929,0,0.191,148.775,4,0.186
92,4SDgTLDYrJ2UrHbkRkg7MD,Lil Nas X,Panini - DaBaby Remix,81,0.22,0.717,151040,0.598,0.0,5,0.122,-5.613,0,0.0809,153.905,4,0.496
93,6CcJMwBtXByIz4zQLzFkKc,Billie Eilish,i love you,85,0.952,0.421,291796,0.131,0.00453,0,0.109,-18.435,1,0.0382,137.446,4,0.12
94,3e9HZxeyfWwjeyPAMmWSSQ,Ariana Grande,"thank u, next",87,0.229,0.717,207320,0.653,0.0,1,0.101,-5.634,1,0.0658,106.966,4,0.412
95,3j84U36KvLeXNDPv4t5pI8,Mustard,Pure Water (with Migos),83,0.174,0.682,192471,0.559,0.0,0,0.344,-5.545,1,0.127,202.015,4,0.137
96,7A20WnLkjtZU2d7hIB6Ziu,Roddy Ricch,Start Wit Me (feat. Gunna),81,0.077,0.886,158692,0.479,0.0,4,0.135,-8.054,0,0.334,130.029,4,0.408
97,1GeNui6m825V8jP4uKiIaH,Young Thug,Bad Bad Bad (feat. Lil Baby),80,0.0976,0.974,149040,0.596,0.0,6,0.151,-8.888,1,0.184,111.959,4,0.892
98,6RRNNciQGZEXnqk8SQ9yv5,Taylor Swift,You Need To Calm Down,85,0.00929,0.771,171360,0.671,0.0,2,0.0637,-5.617,1,0.0553,85.026,4,0.714
99,3RZftiuTcLOqpsd8ZlwNhr,Young Thug,Hop Off A Jet (feat. Travis Scott),82,0.0115,0.823,174067,0.476,0.0,7,0.213,-8.951,1,0.242,144.998,4,0.353
100,6fWa5CRgy0z30OeGZyMBvD,Rod Wave,Heart On Ice,79,0.0513,0.733,159670,0.389,0.0,10,0.141,-8.468,0,0.0738,157.878,3,0.244
101,35Xf2ABjPzUXKz19akd7Jj,NLE Choppa,Famous Hoes,80,0.346,0.732,135460,0.627,0.0,4,0.261,-5.693,0,0.161,81.481,4,0.332
102,2QpGZOhTCHHiKmpSO9FW4h,Kanye West,Follow God,84,0.000248,0.529,104591,0.9,1.21e-05,1,0.0426,-3.503,1,0.418,180.291,4,0.434
103,6cjSh516BbrNUs213jDAGm,benny blanco,Graduation (with Juice WRLD),82,0.107,0.731,177847,0.65,0.0,0,0.124,-5.286,1,0.271,154.968,4,0.605
104,0RiRZpuVRbi7oqRdSMwhQY,Post Malone,Sunflower - Spider-Man: Into the Spider-Verse,86,0.533,0.755,157560,0.522,0.0,2,0.0685,-4.368,1,0.0575,89.96,4,0.925
105,0c7K73roy6RW4ebDkf4yGh,24kGoldn,VALENTINO,82,0.197,0.745,179133,0.718,0.0,9,0.134,-4.853,0,0.183,151.097,4,0.539
106,2TH65lNHgvLxCKXM3apjxI,Bad Bunny,Callaita,90,0.6,0.61,250534,0.624,2.12e-06,2,0.243,-4.773,1,0.309,176.169,4,0.244
108,1mpD5Q8IM32I4bF6eCpU74,Khalid,Up All Night,85,0.00103,0.665,157220,0.712,0.00342,1,0.102,-7.536,1,0.0527,93.989,4,0.669
