,song_id,artist_name,track_name,popularity,year
114,0i5el041vd6nxrGEU8QRxy,Florida Georgia Line,Cruise,70,2019
115,1mKXFLRA179hdOWQBwUk9e,P!nk,Just Give Me a Reason (feat. Nate Ruess),80,2019
116,2iUmqdfGZcHIhS3b9E9EWq,Neon Trees,Everybody Talks,73,2019
117,3w3y8KPTfNeOKPiqUTakBh,Bruno Mars,Locked Out of Heaven,78,2019
118,6t6oULCRS6hnI7rm0h5gwl,fun.,Some Nights,70,2019
119,3cHyrEgdyYRjgJKSOiOtcS,Pitbull,Timber (feat. Ke$ha),76,2019
120,0LtOwyZoSNZKJWHqjzADpW,Tame Impala,Feels Like We Only Go Backwards,74,2019
121,53QF56cjZA9RTuuMZDrSA6,Jason Mraz,I Won't Give Up,71,2019
122,0hm8rgOY17z7kQJlqGKbu7,Mumford & Sons,I Will Wait,68,2019
123,5a1iz510sv2W9Dt1MvFd5R,Michael Bublé,It's Beginning to Look a Lot like Christmas,77,2019
124,3TGRqZ0a2l1LRblBkJoaDx,Carly Rae Jepsen,Call Me Maybe,69,2019
125,4P6n0udLAnmCNXVcobYbsK,Grimes,Oblivion,67,2019
126,2P3SLxeQHPqh8qKB6gtJY2,Kendrick Lamar,Poetic Justice,68,2019
127,6VwBbL8CzPiC4QV66ay7oR,The Weeknd,Wicked Games,73,2019
128,4cluDES4hQEUhmXj6TXkSo,One Direction,What Makes You Beautiful,77,2019
129,2HbKqm4o0w5wEeEFXm2sD4,Kendrick Lamar,Money Trees,68,2019
130,72C7aUQECOhNtnD0AC36ua,One Direction,They Don't Know About Us,76,2019
131,60wwxj6Dd9NJlirf84wr2c,Zedd,Clarity,74,2019
132,2OFrAsP5Vrcb0DtsPNsm54,Mac DeMarco,My Kind of Woman,71,2019
133,7EQGXaVSyEDsCWKmUcfpLk,Kesha,Die Young,73,2019
134,4qikXelSRKvoCqFcHLB2H2,Kanye West,Mercy,70,2019
135,4esOae7i4rqTbAu9o5Pxco,Alicia Keys,Girl on Fire,75,2019
136,0725YWm6Z0TpZ6wrNk64Eb,Frank Ocean,Super Rich Kids,67,2019
137,6u0dQik0aif7FQlrhycG1L,The Weeknd,The Morning,70,2019
