,song_id,artist_name,track_name,popularity,year,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
95,0JcKdUGNR7zI4jJDLyYXbi,Sugarland,Stuck Like Glue,64,2010,0.702,0.795,1,-4.764,1,0.0568,0.329,0.0,0.0505,0.836,83.961,247587,4
96,0aPZbnkMoWJaJ5CNVLCj8S,Justin Bieber,That Should Be Me,69,2010,0.545,0.602,8,-5.71,1,0.0341,0.201,0.0,0.151,0.227,139.89,232720,4
97,5uHYcK0nbEYgRaFTY5BqnP,B.o.B,Magic (feat. Rivers Cuomo),65,2010,0.549,0.932,8,-4.11,0,0.343,0.0127,0.0,0.347,0.787,82.439,196133,4
98,0sHW1jXe6Sou3437gJQNGA,Eminem,Space Bound,70,2010,0.668,0.886,0,-3.474,1,0.117,0.0417,0.0,0.459,0.503,142.002,278640,4
99,1t2hJFgJyUPD2crOafMUEk,Kenny Chesney,You and Tequila,64,2010,0.691,0.454,6,-9.13,1,0.0256,0.437,0.00227,0.0783,0.35,135.839,242840,4
100,6BdgtqiV3oXNqBikezwdvC,Drake,Over,63,2010,0.35,0.845,7,-5.614,1,0.2,0.0107,0.0,0.123,0.45,99.643,233560,5
101,3XQY8kDjI8LARMIC9xkxQk,Waka Flocka Flame,Hard in Da Paint,64,2010,0.611,0.66,11,-5.883,1,0.0839,0.198,0.0,0.365,0.583,71.544,246387,4
102,01ZepwW5W3Z4fwl4bzaHyY,Brantley Gilbert,Kick It In The Sticks,62,2010,0.493,0.843,8,-5.924,0,0.0707,0.00507,0.0,0.13,0.523,158.028,225747,4
103,7g13jf3zqlP5S68Voo5v9m,Robyn,Dancing On My Own - Radio Edit,63,2010,0.573,0.926,6,-6.045,1,0.0342,0.00202,0.0117,0.127,0.219,117.047,278080,4
104,5BB0Jzw60KyfSTyjJqtely,My Chemical Romance,Na Na Na (Na Na Na Na Na Na Na Na Na),69,2010,0.411,0.986,8,-2.522,0,0.0583,0.000264,0.00148,0.371,0.649,165.981,205960,4
105,1pYKzfOlpHWtVUiEIu4Vn7,Rihanna,What's My Name?,65,2010,0.695,0.782,2,-2.967,1,0.0629,0.223,0.0,0.0773,0.595,99.992,263173,4
106,5yEPktRqvIhko5QFF3aBhQ,Taylor Swift,Mean,62,2010,0.568,0.761,4,-3.987,1,0.0459,0.452,0.0,0.217,0.789,163.974,237733,4
107,4xInIiKipU1mtUogJ3ZdYr,Lady Antebellum,American Honey,63,2010,0.588,0.684,1,-5.154,1,0.0288,0.508,0.0,0.141,0.121,85.997,224867,4
108,0ConttVd0Ebk3dLNquOmh0,Nicki Minaj,Moment 4 Life,62,2010,0.68,0.882,11,-3.883,1,0.236,0.406,0.0,0.241,0.386,97.943,279307,4
109,6KOEK6SeCEZOQkLj5M1PxH,Katy Perry,California Gurls,63,2010,0.788,0.753,0,-3.71,1,0.0536,0.0038,0.0,0.18,0.403,125.005,234653,4
110,6u5M4jPpYkoRV4vVHDQvkd,DJ Khaled,All I Do Is Win,68,2010,0.549,0.791,10,-3.535,1,0.133,0.0104,0.0,0.444,0.293,150.094,227293,4
111,5Z1U0knfYnsfvZycgDeOiC,Angus & Julia Stone,Big Jet Plane,64,2010,0.763,0.387,10,-8.643,0,0.0278,0.239,0.00747,0.13,0.273,109.957,239147,4
112,2MVwrvjmcdt4MsYYLCYMt8,The Black Keys,Tighten Up,62,2010,0.504,0.705,6,-6.179,0,0.0665,0.00121,4.12e-06,0.453,0.567,108.965,211080,4
113,6ebkx7Q5tTxrCxKq4GYj0Y,Flo Rida,Club Can't Handle Me (feat. David Guetta),72,2010,0.616,0.869,0,-3.911,1,0.0327,0.0283,0.0,0.064,0.473,127.966,234560,4
115,1r8oPEXqnhUVgkUkJNqEuF,Joy Division,Love Will Tear Us Apart - 2010 Remaster,65,2010,0.525,0.902,2,-8.662,1,0.0368,0.000989,0.691,0.137,0.907,146.83,204621,4
116,6ZFbXIJkuI1dVNWvzJzown,Hans Zimmer,Time,72,2010,0.221,0.0879,7,-16.996,1,0.0381,0.155,0.698,0.0869,0.0401,126.622,275547,4
117,5MMLS3xm12D7N26xlfFApr,Bruno Mars,Runaway Baby,64,2010,0.656,0.767,11,-3.038,1,0.0396,0.25,0.0,0.114,0.871,163.834,147747,4
118,2zOWuWdyuMqOoboNRKlJO0,Soulja Boy,Pretty Boy Swag,64,2010,0.837,0.42,8,-5.158,1,0.0629,0.177,0.0,0.356,0.143,123.157,236093,4
119,62EcdBCqjB62CxnhgBkkJT,Turnpike Troubadours,7 & 7,61,2010,0.401,0.802,9,-5.278,1,0.0294,0.0227,0.0,0.338,0.849,191.093,289653,4
120,25GC50HslaaruyrKjdu0lP,Bullet For My Valentine,Your Betrayal,67,2010,0.569,0.883,2,-4.41,0,0.0747,8.07e-05,7.74e-05,0.0883,0.373,134.003,291427,4
121,6Iocm6VMu6bVNYwiDoyQFW,Diddy - Dirty Money,Coming Home,70,2010,0.392,0.839,7,-1.921,1,0.193,0.158,0.0,0.3,0.232,168.001,238693,4
122,25nzKGDiua1lE9Qo5V19GL,The Naked And Famous,Young Blood,66,2010,0.579,0.865,6,-4.692,1,0.0302,5.63e-05,0.000221,0.649,0.358,104.99,246600,4
123,0158TMiGmHyibaDeaUKayX,Clay Walker,She Won't Be Lonely Long,62,2010,0.635,0.758,7,-5.772,1,0.0243,0.00643,0.0,0.229,0.322,113.002,209253,4
124,7yNK27ZTpHew0c55VvIJgm,Kanye West,Dark Fantasy,66,2010,0.59,0.587,5,-5.919,1,0.0457,0.274,0.0,0.167,0.367,88.015,280787,4
125,4nVyHATevhl5RC6Qmoko5H,Enrique Iglesias,I Like It,63,2010,0.646,0.94,10,-2.856,0,0.0838,0.0209,0.0,0.0691,0.704,129.011,231787,4
126,0dBW6ZsW8skfvoRfgeerBF,Taylor Swift,Mine,61,2010,0.624,0.757,7,-2.94,1,0.0296,0.00265,1.87e-06,0.189,0.658,121.07,230707,4
127,40i81AcCCxiVEFUWElcjZC,Get Scared,Sarcasm,62,2010,0.387,0.929,7,-4.825,0,0.161,0.00238,7.22e-06,0.314,0.591,180.359,198080,4
128,75L0qdzRnhwV62UXoNq3pE,Drake,Up All Night,61,2010,0.606,0.811,7,-4.667,1,0.278,0.00782,1.49e-05,0.349,0.276,156.347,234333,4
129,2cmRpmO04TLaKPzmAzySYZ,LCD Soundsystem,Dance Yrself Clean,65,2010,0.739,0.611,11,-9.829,1,0.0622,0.00557,0.725,0.04,0.794,98.004,536471,4
130,2e9EZ2V5QGGZPMJacO3y0Y,Waka Flocka Flame,Grove St. Party (feat. Kebo Gotti),62,2010,0.705,0.702,0,-4.783,0,0.108,0.138,0.0,0.364,0.771,140.059,250493,4
131,0U0ldCRmgCqhVvD6ksG63j,Kavinsky,Nightcall,69,2010,0.532,0.874,9,-5.183,0,0.0482,0.00842,0.012,0.452,0.361,91.038,258413,4
132,17X2tSzibD9n9QRjdExcWT,Jason Aldean,Fly Over States,61,2010,0.487,0.736,7,-3.269,1,0.0326,0.069,0.0,0.114,0.184,81.587,218200,4
133,2GtaNlidzvK3hY78kCdsHa,Kid Cudi,Marijuana,64,2010,0.672,0.403,8,-9.809,0,0.0273,0.829,0.823,0.272,0.54,140.978,260200,4
134,3VA8T3rNy5V24AXxNK5u9E,Sara Bareilles,King of Anything,64,2010,0.676,0.762,1,-4.172,1,0.0351,0.461,0.0,0.0574,0.81,119.003,207493,4
135,7CZiLgkiVHhFcDkI2Y4lZ4,Jason Aldean,Don't You Wanna Stay (with Kelly Clarkson),61,2010,0.445,0.631,11,-4.798,1,0.0304,0.129,0.0,0.0911,0.152,143.846,256440,4
137,1oARvxg8zok0ouEtYb2RuV,Cody Jinks,Somewhere in the Middle,61,2010,0.589,0.54,10,-5.056,1,0.0227,0.203,0.0,0.0819,0.36,83.981,300493,3
138,6hkOqJ5mE093AQf2lbZnsG,Katy Perry,The One That Got Away,64,2010,0.691,0.795,1,-4.021,0,0.0355,0.000812,1.02e-06,0.156,0.876,133.971,227333,4
139,4ImIJRZNJhNQLLdUFSYJoS,Disturbed,Down with the Sickness,67,2010,0.649,0.896,10,-2.704,0,0.056,0.000319,1.19e-05,0.102,0.924,90.009,278707,4
140,0J52XbVeRL0wFtygzsmHDm,Los Alegres de la Sierra,De Rodillas Te Pido,62,2010,0.644,0.509,7,-6.805,1,0.031,0.22,0.0,0.0772,0.896,114.769,216000,4
141,4r6eNCsrZnQWJzzvFh4nlg,Katy Perry,Firework,64,2010,0.638,0.832,8,-5.039,1,0.049,0.141,0.0,0.113,0.648,124.071,227893,4
142,3pkzJjJXfdDjhpXx639MIH,Kenny Chesney,Somewhere With You,61,2010,0.68,0.849,1,-6.475,0,0.0376,0.0862,0.00013,0.174,0.536,111.969,243520,4
143,5cwN1htZyoWqZCc33f3RfE,Broken Bells,The High Road,65,2010,0.61,0.637,0,-6.574,1,0.0238,0.0682,6.12e-06,0.284,0.609,79.955,232200,4
144,1tZ5C8zI326sIB4kBErdmC,Billy Currington,Let Me Down Easy,61,2010,0.606,0.497,1,-5.005,1,0.0278,0.361,0.0,0.106,0.18,125.059,228493,4
145,40lKptao1hxVqA7fd1OOGp,Chris Tomlin,Our God,65,2010,0.509,0.778,11,-3.608,1,0.0295,0.00998,0.0,0.19,0.216,105.066,285160,4
146,7AqISujIaWcY3h5zrOqt5v,CeeLo Green,Forget You,62,2010,0.696,0.875,0,-3.682,1,0.0649,0.134,0.0,0.159,0.772,127.39,222733,4
